Year,Month,Anomaly,Unc,Temps
1884,10,-1.59,0.476,15.09
1884,11,0.81,0.822,13.15
1884,12,0.64,1.004,9.42
1885,1,0.81,0.755,9.28
1885,2,1.21,0.499,11.93
1885,3,2.41,0.696,14.28
1885,4,1.62,0.796,17.62
1885,5,0.76,0.875,14.19
1885,6,-1.34,1.523,17.07
1885,7,-0.13,2.039,19.66
1885,8,0.07,1.105,19.82
1885,9,-0.37,0.759,19.12
1885,10,0.14,0.783,16.82
1885,11,0.37,0.422,12.71
1885,12,1.54,0.988,10.32
1886,1,-0.09,1.363,8.38
1886,2,1.7,0.742,12.42
1886,3,-0.69,0.845,11.18
1886,4,-0.06,0.622,15.94
1886,5,0.46,0.439,13.89
1886,6,0.99,0.521,19.4
1886,7,0.32,0.787,20.11
1886,8,0.47,0.674,20.22
1886,9,-0.61,0.725,18.88
1886,10,-1.94,1.236,14.74
1886,11,-0.59,0.591,11.75
1886,12,1.99,1.219,10.77
1887,1,0.83,0.695,9.3
1887,2,-3.22,0.827,7.5
1887,3,1.67,0.805,13.54
1887,4,0.1,0.694,16.1
1887,5,0.13,0.387,13.56
1887,6,0.05,0.718,18.46
1887,7,-1.35,0.652,18.44
1887,8,-1.34,0.685,18.41
1887,9,-0.38,0.749,19.11
1887,10,1.45,0.509,18.13
1887,11,0.28,0.781,12.62
1887,12,0.52,0.538,9.3
1888,1,-1.77,0.995,6.7
1888,2,0.22,0.378,10.94
1888,3,-0.37,0.622,11.5
1888,4,1.75,0.749,17.75
1888,5,-0.39,0.426,13.04
1888,6,0.36,1.523,18.77
1888,7,0.34,1.483,20.13
1888,8,0.39,1.267,20.14
1888,9,0.58,0.969,20.07
1888,10,0.32,0.796,17
1888,11,0.15,0.885,12.49
1888,12,1.11,0.85,9.89
1889,1,-0.72,0.706,7.75
1889,2,-0.33,0.372,10.39
1889,3,1.79,0.454,13.66
1889,4,1.98,0.611,17.98
1889,5,0.81,0.993,14.24
1889,6,0.5,0.669,18.91
1889,7,-0.44,0.973,19.35
1889,8,-0.04,0.693,19.71
1889,9,0.42,0.784,19.91
1889,10,-0.64,0.392,16.04
1889,11,0.39,0.457,12.73
1889,12,0.03,0.491,8.81
1890,1,-2.53,0.911,5.94
1890,2,-2.08,0.803,8.64
1890,3,-0.1,0.324,11.77
1890,4,0.09,0.439,16.09
1890,5,0.67,0.974,14.1
1890,6,-0.99,1.143,17.42
1890,7,-0.05,1.176,19.74
1890,8,0.08,1.247,19.83
1890,9,-0.7,1.403,18.79
1890,10,0.42,0.453,17.1
1890,11,1.4,0.729,13.74
1890,12,0.23,1.592,9.01
1891,1,1.13,1.011,9.6
1891,2,-1.35,0.552,9.37
1891,3,0.76,0.641,12.63
1891,4,-0.46,0.502,15.54
1891,5,-0.75,0.907,12.68
1891,6,-0.13,1.293,18.28
1891,7,0.5,1.963,20.29
1891,8,0.95,1.673,20.7
1891,9,-0.79,1.029,18.7
1891,10,-0.67,0.457,16.01
1891,11,0.88,0.864,13.22
1891,12,-0.87,0.789,7.91
1892,1,0.82,1.197,9.29
1892,2,0.03,0.521,10.75
1892,3,0.63,1.135,12.5
1892,4,-0.85,0.586,15.15
1892,5,0.36,0.727,13.79
1892,6,-1.02,0.655,17.39
1892,7,-0.92,0.89,18.87
1892,8,-0.17,1.131,19.58
1892,9,-1.32,0.431,18.17
1892,10,-1.35,0.299,15.33
1892,11,0.12,0.71,12.46
1892,12,-0.07,0.704,8.71
1893,1,-1.79,0.578,6.68
1893,2,-1.85,0.489,8.87
1893,3,-1.25,0.453,10.62
1893,4,-1.25,0.37,14.75
1893,5,0.01,0.645,13.44
1893,6,-0.82,0.612,17.59
1893,7,-0.16,1.098,19.63
1893,8,-0.41,1.076,19.34
1893,9,-2.81,0.313,16.68
1893,10,-2.26,0.345,14.42
1893,11,-0.42,0.712,11.92
1893,12,0.73,0.93,9.51
1894,1,-1.35,0.846,7.12
1894,2,-2.46,0.868,8.26
1894,3,-1.17,0.823,10.7
1894,4,0.87,0.995,16.87
1894,5,-0.16,0.808,13.27
1894,6,-2.22,0.747,16.19
1894,7,-0.34,1.882,19.45
1894,8,0.33,1.441,20.08
1894,9,0.05,0.882,19.54
1894,10,-1.1,0.398,15.58
1894,11,1.03,0.805,13.37
1894,12,-0.38,0.82,8.4
1895,1,-0.83,0.705,7.64
1895,2,0.14,0.674,10.86
1895,3,-0.62,0.347,11.25
1895,4,0.15,0.488,16.15
1895,5,0.24,0.3,13.67
1895,6,0.98,1.223,19.39
1895,7,-0.98,1.131,18.81
1895,8,-0.74,1.028,19.01
1895,9,-2,0.237,17.49
1895,10,-0.44,0.765,16.24
1895,11,-0.76,0.829,11.58
1895,12,-1.47,0.714,7.31
1896,1,1.46,1.228,9.93
1896,2,0.66,0.817,11.38
1896,3,0.59,0.496,12.46
1896,4,-2.33,0.731,13.67
1896,5,-1.3,0.47,12.13
1896,6,0.43,1.245,18.84
1896,7,1.21,1.53,21
1896,8,-0.37,0.708,19.38
1896,9,-1.94,0.633,17.55
1896,10,-0.61,0.586,16.07
1896,11,-1.54,0.362,10.8
1896,12,1.09,0.661,9.87
1897,1,-1.25,1.365,7.22
1897,2,-1.61,0.744,9.11
1897,3,-2.76,0.636,9.11
1897,4,1.78,0.34,17.78
1897,5,1.42,0.536,14.85
1897,6,0.42,0.522,18.83
1897,7,0.45,1.933,20.24
1897,8,-0.77,1.3,18.98
1897,9,-1.02,0.528,18.47
1897,10,-1.89,0.648,14.79
